step_idx,timestep,active,mode,scale,mean_abs_c_base,mean_abs_w_time,mean_abs_c_final,mean_abs_recon_pre_spatial,mean_abs_recon_final,mean_abs_delta_x,delta_over_x,active_feature_ids_time,active_feature_ids_final,top_feature_ids_final,top_feature_scores_final
0,958,1,ablation,5.129960574384624,0.0,0.443603515625,0.0,0.0,0.0,0.0,0.0,2187 722 3964 1000 1797 2314 2703 4664 3347 1665,,722 2187 3964 1797 1000,0 0 0 0 0
1,925,1,ablation,5.129960574384624,0.0247650146484375,0.736328125,0.00597381591796875,0.001251220703125,0.0012941360473632812,0.006641387939453125,0.0019441913236129243,2187 722 3964 1000 1797 2314 2703 4664 3347 1665,722 3347,722 3347 1000 3964 2187,0.0560303 0.00369644 0 0 0
2,892,1,ablation,5.129960574384624,0.09747314453125,0.94677734375,0.05023193359375,0.01043701171875,0.010528564453125,0.05401611328125,0.015296598451323102,2187 722 3964 1000 1797 2314 2703 4664 3347 1665,2187 722 3347,722 3347 2187 1000 3964,0.33667 0.150635 0.0151062 0 0
3,859,1,ablation,5.129960574384624,0.1551513671875,1.1396484375,0.1287841796875,0.0267181396484375,0.027252197265625,0.1397705078125,0.03798434182589201,2187 722 3964 1000 1797 2314 2703 4664 3347 1665,722 3347,722 3347 1000 3964 2187,0.818359 0.469238 0 0 0
4,826,1,ablation,5.129960574384624,0.1820068359375,1.2587890625,0.1834716796875,0.037933349609375,0.03857421875,0.1978759765625,0.0517428498467689,2187 722 3964 1000 1797 2314 2703 4664 3347 1665,722 3347,722 3347 1000 3964 2187,0.944336 0.889648 0 0 0
5,793,1,ablation,5.129960574384624,0.205322265625,1.3662109375,0.251953125,0.051788330078125,0.052215576171875,0.267822265625,0.06805210918112414,2187 722 3964 1000 1797 2314 2703 4664 3347 1665,722 3347,3347 722 1000 3964 2187,1.69043 0.828125 0 0 0
6,760,1,ablation,5.129960574384624,0.1815185546875,1.447265625,0.251220703125,0.051605224609375,0.052001953125,0.266845703125,0.06658138401557792,2187 722 3964 1000 1797 2314 2703 4664 3347 1665,722 3347,3347 722 1000 3964 2187,1.80078 0.712402 0 0 0
7,727,1,ablation,5.129960574384624,0.15234375,1.50390625,0.227294921875,0.046722412109375,0.046539306640625,0.23876953125,0.05871757925070602,2187 722 3964 1000 1797 2314 2703 4664 3347 1665,2187 722 3347,3347 722 2187 1000 3964,1.55664 0.687012 0.0300598 0 0
8,694,1,ablation,5.129960574384624,0.12225341796875,1.556640625,0.1947021484375,0.04010009765625,0.03973388671875,0.203857421875,0.04960788973382823,2187 722 3964 1000 1797 2314 2703 4664 3347 1665,2187 722 3347,3347 722 2187 1000 3964,1.19336 0.722168 0.0313416 0 0
9,661,1,ablation,5.129960574384624,0.08636474609375,1.591796875,0.1490478515625,0.030853271484375,0.0308990478515625,0.1585693359375,0.0382598963242132,2187 722 3964 1000 1797 2314 2703 4664 3347 1665,2187 722 3347,722 3347 2187 1000 3964,0.730957 0.61084 0.148804 0 0
10,628,1,ablation,5.129960574384624,0.06451416015625,1.6220703125,0.12164306640625,0.0252838134765625,0.025146484375,0.1290283203125,0.030957122774125656,2187 722 3964 1000 1797 2314 2703 4664 3347 1665,2187 722 3347,722 3347 2187 1000 3964,0.666992 0.306641 0.243164 0 0
11,595,1,ablation,5.129960574384624,0.061859130859375,1.6474609375,0.125,0.0260772705078125,0.026123046875,0.134033203125,0.031948324022338756,2187 722 3964 1000 1797 2314 2703 4664 3347 1665,2187 722 3347,722 2187 3347 1000 3964,0.853027 0.243164 0.153931 0 0
12,562,1,ablation,5.129960574384624,0.055206298828125,1.6728515625,0.12127685546875,0.025360107421875,0.025604248046875,0.13134765625,0.031134259259251878,2187 722 3964 1000 1797 2314 2703 4664 3347 1665,2187 722,722 2187 1797 1000 3964,0.871094 0.341309 0 0 0
13,529,0,ablation,5.129960574384624,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
14,496,0,ablation,5.129960574384624,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
15,463,0,ablation,5.129960574384624,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
16,430,0,ablation,5.129960574384624,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
17,397,0,ablation,5.129960574384624,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
18,364,0,ablation,5.129960574384624,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
19,331,0,ablation,5.129960574384624,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
20,298,0,ablation,5.129960574384624,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
21,265,0,ablation,5.129960574384624,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
22,232,0,ablation,5.129960574384624,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
23,199,0,ablation,5.129960574384624,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
24,166,0,ablation,5.129960574384624,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
25,133,0,ablation,5.129960574384624,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
26,100,0,ablation,5.129960574384624,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
27,67,0,ablation,5.129960574384624,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
28,34,0,ablation,5.129960574384624,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
29,1,0,ablation,5.129960574384624,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
